"","unique_id","dfs.fid","dfs.prior.1","dfs.prior.2","dfs.prior.3","fid","length","speed.fid","speed.prior.1","speed.prior.2","speed.prior.3","Treatment","opcode","family","genus","species","activity","school_individual","DFSAvg","speed.priorAvg","scientific"
"77","Pipe 1bLIZARD3_CAM3_RIG2",NA,251.003,293.124,181.571,788.737,203.924,0.0912162162162162,0.0941903333333333,0.049827,0.117429666666667,"Pipe","LIZARD3_CAM3_RIG2","Lutjanidae","Lutjanus","fulviflamma","flight","School",241.899333333333,0.087149,"Lutjanus.fulviflamma"
"78","Pipe 1cLIZARD1_CAM2_RIG3",241.093,NA,NA,193.87,888.758,81.308,0.115123008849558,NA,NA,NA,"Pipe","LIZARD1_CAM2_RIG3","Lutjanidae","Lutjanus","spp","hide","School",193.87,NA,"Lutjanus.spp"
"79","Pipe 1LIZARD1_CAM11_RIG1",177.256,178.577,190.081,181.831,1254.08,NA,NA,NA,NA,NA,"Pipe","LIZARD1_CAM11_RIG1","Haemulidae","Plectorhinchus","chrysotaenia","no response","Individual",183.496333333333,NA,"Plectorhinchus.chrysotaenia"
"80","Pipe 1LIZARD1_CAM4_RIG2",209.783,168.15,183.347,149.641,788.226,117.374,NA,NA,NA,NA,"Pipe","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","spp","no response","Individual",167.046,NA,"Lutjanus.spp"
"81","Pipe 1LIZARD1_CAM6_RIG1",527.034,379.156,462.944,484.436,1997.694,252.147,0.106192771084337,0.092024,NA,0.098863,"Pipe","LIZARD1_CAM6_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",442.178666666667,0.0954435,"Diagramma.pictum"
"82","Pipe 1LIZARD2_CAM2_RIG1",146.823,190.65,119.659,178.286,1772.207,244.881,2.2447625,0.0727066666666667,0.0847106666666667,0.075038,"Pipe","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",162.865,0.0774851111111111,"Diagramma.pictum"
"83","Pipe 1LIZARD2_CAM3_RIG1",NA,140.757,235.872,114.789,961.861,251.248,NA,NA,NA,NA,"Pipe","LIZARD2_CAM3_RIG1","Haemulidae","Diagramma","pictum","no response","Individual",163.806,NA,"Diagramma.pictum"
"84","Pipe 1LIZARD2_CAM4_RIG1",219.086,282.898,271.638,212.039,1398.393,279.703,NA,NA,NA,NA,"Pipe","LIZARD2_CAM4_RIG1","Haemulidae","Diagramma","pictum","no response","Individual",255.525,NA,"Diagramma.pictum"
"85","Pipe 1LIZARD2_CAM5_RIG3",NA,NA,NA,NA,693.875,NA,0.058742600896861,0.04073,0.0872163333333333,NA,"Pipe","LIZARD2_CAM5_RIG3","Haemulidae","Diagramma","pictum","flight","Individual",NA,0.0639731666666667,"Diagramma.pictum"
"86","Pipe 1LIZARD3_CAM1_RIG1",565.624,524.318,539.65,541.277,700.431,358.941,NA,NA,NA,NA,"Pipe","LIZARD3_CAM1_RIG1","Haemulidae","Plectorhinchus","chrysotaenia","no response","Individual",535.081666666667,NA,"Plectorhinchus.chrysotaenia"
"87","Pipe 1LIZARD3_CAM2_RIG1",226.034,243.083,64.753,81.025,2023.512,255.786,NA,0.151210333333333,0.179419,0.150442,"Pipe","LIZARD3_CAM2_RIG1","Lutjanidae","Lutjanus","fulviflamma","no response","Individual",129.620333333333,0.160357111111111,"Lutjanus.fulviflamma"
"88","Pipe 1LIZARD4_CAM2_RIG3",145.764,NA,350.651,294.071,1158.118,NA,NA,NA,NA,NA,"Pipe","LIZARD4_CAM2_RIG3","Lethrinidae","Lethrinus","atkinsoni","flight","Individual",322.361,NA,"Lethrinus.atkinsoni"
"89","Pipe 1LIZARD4_CAM4_RIG1",179.906,288.591,164.414,191.747,1409.628,619.959,0.156403883495146,NA,NA,NA,"Pipe","LIZARD4_CAM4_RIG1","Serranidae","Plectropomus","spp","swim backwards","Individual",214.917333333333,NA,"Plectropomus.spp"
"90","Pipe 1LIZARD4_CAM5_RIG1",239.348,887.275,483.278,298.266,1930.367,608.5,0.348994,0.145760666666667,0.154825,0.166811333333333,"Pipe","LIZARD4_CAM5_RIG1","Lutjanidae","Lutjanus","bohar","flight","Individual",556.273,0.155799,"Lutjanus.bohar"
"91","Pipe 1LIZARD5_CAM2_RIG3",132.462,107.843,106.562,108.886,659.651,403.011,NA,NA,NA,NA,"Pipe","LIZARD5_CAM2_RIG3","Serranidae","Plectropomus","spp","no response","Individual",107.763666666667,NA,"Plectropomus.spp"
