"","uniqueID","FID","Length","Treatment","Genus","Species","Activity","School.Individual","speed.FID","SpeedAvg","DFS.FID","DFSAvg"
"118","Pipe 2LIZARD3_CAM2_RIG1",1016.137,376.39,"Pipe","Plectorhinchus","chrysotaenia","no response","Individual",0,0,224.625,154.809333333333
"119","Pipe 2LIZARD4_CAM2_RIG3",419.922,303.778,"Pipe","Plectropomus","sp","no response","Individual",NA,0,NA,NA
"120","Pipe 2LIZARD4_CAM4_RIG1",1484.876,410.864,"Pipe","Plectorhinchus","chrysotaenia","no response","Individual",0,0,765.029,558.783666666667
"121","Pipe 3aLIZARD1_CAM4_RIG2",915.496,123.694,"Pipe","Lutjanus","sp","hide","School",0.23534127,0.0232395553333333,128.764,233.466
"122","Pipe 3bLIZARD1_CAM4_RIG2",843.308,112.847,"Pipe","Lutjanus","sp","hide","School",0.059787302,0.0107433335,67.229,94.995
"123","Pipe 3cLIZARD1_CAM4_RIG2",890.862,104.495,"Pipe","Lutjanus","sp","hide","School",0.209901587,0.056693,89.455,141.875333333333
"124","Pipe 3LIZARD2_CAM5_RIG3",1083.358,NA,"Pipe","Lutjanus","carponotatus","flight","Individual",0.404039474,0.013877,0,0
"125","Pipe 3LIZARD3_CAM1_RIG1",1188.836,NA,"Pipe","Plectorhinchus","chrysotaenia","no response","Individual",NA,0,571.542,NA
"126","Shark 1LIZARD1_CAM4_RIG2",1069.708,114.044,"Shark","Lutjanus","sp","no response","Individual",0.028106283,0.007545,146.72,136.281
"127","Shark 1LIZARD1_CAM4_RIG2",1069.708,114.044,"Shark","Lutjanus","sp","no response","School",0.028106283,0.007545,146.72,136.281
"128","Shark 1LIZARD1_CAM6_RIG1",2628.792,215.732,"Shark","Lutjanus","fulvus","flight","Individual",0.29946,0.0979766666666667,211.654,122.732333333333
"129","Shark 1LIZARD2_CAM2_RIG1",1927.475,239.945,"Shark","Diagramma","pictum","flight","Individual",0.238661224,0,315.372,290.364666666667
"130","Shark 1LIZARD2_CAM3_RIG1",1327.082,248.576,"Shark","Diagramma","pictum","C- turn","Individual",0.268691732,0.106798,217.371,190.7305
"131","Shark 1LIZARD2_CAM4_RIG1",1891.677,290.038,"Shark","Lutjanus","fulviflamma","C- turn","Individual",0.2862975,0.0226323333333333,418.414,427.535
"132","Shark 1LIZARD2_CAM4_RIG1",1891.677,290.038,"Turtle","Lutjanus","fulviflamma","C- turn","Individual",0.2862975,0.0226323333333333,418.414,427.535
"133","Shark 1LIZARD2_CAM5_RIG3",1099.562,191.864,"Shark","Diagramma","pictum","C- turn","Individual",0.065816047,0.080660889,NA,325.675
