"","unique_id","dfs.fid","dfs.prior.1","dfs.prior.2","dfs.prior.3","fid","length","speed.fid","speed.prior.1","speed.prior.2","speed.prior.3","Treatment","opcode","family","genus","species","activity","school_individual","DFSAvg","speed.priorAvg","scientific","site"
"53","Pipe 1LIZARD1_CAM4_RIG2",209.783,168.15,183.347,149.641,788.226,117.374,0,0,NA,0,"Pipe","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","spp","no response","Individual",167.046,0,"Lutjanus.spp","1"
"54","Pipe 1LIZARD1_CAM6_RIG1",527.034,379.156,462.944,484.436,1997.694,252.147,0.106192771084337,0.092024,0,0.098863,"Pipe","LIZARD1_CAM6_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",442.178666666667,0.063629,"Diagramma.pictum","1"
"55","Pipe 1LIZARD2_CAM2_RIG1",146.823,190.65,119.659,178.286,1772.207,244.881,2.2447625,0.0727066666666667,0.0847106666666667,0.075038,"Pipe","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",162.865,0.0774851111111111,"Diagramma.pictum","2"
"56","Pipe 1LIZARD2_CAM3_RIG1",NA,140.757,235.872,114.789,961.861,251.248,NA,NA,NA,NA,"Pipe","LIZARD2_CAM3_RIG1","Haemulidae","Diagramma","pictum","no response","Individual",163.806,NA,"Diagramma.pictum","2"
"57","Pipe 1LIZARD2_CAM4_RIG1",219.086,282.898,271.638,212.039,1398.393,279.703,NA,0,0,0,"Pipe","LIZARD2_CAM4_RIG1","Haemulidae","Diagramma","pictum","no response","Individual",255.525,0,"Diagramma.pictum","2"
"58","Pipe 1LIZARD2_CAM5_RIG3",NA,NA,NA,NA,693.875,NA,0.058742600896861,0.04073,0.0872163333333333,NA,"Pipe","LIZARD2_CAM5_RIG3","Haemulidae","Diagramma","pictum","flight","Individual",NA,0.0639731666666667,"Diagramma.pictum","2"
"59","Pipe 1LIZARD3_CAM1_RIG1",565.624,524.318,539.65,541.277,700.431,358.941,NA,0,0,0,"Pipe","LIZARD3_CAM1_RIG1","Haemulidae","Plectorhinchus","chrysotaenia","no response","Individual",535.081666666667,0,"Plectorhinchus.chrysotaenia","3"
"60","Pipe 1LIZARD3_CAM2_RIG1",226.034,243.083,64.753,81.025,2023.512,255.786,NA,0.151210333333333,0.179419,0.150442,"Pipe","LIZARD3_CAM2_RIG1","Lutjanidae","Lutjanus","fulviflamma","no response","Individual",129.620333333333,0.160357111111111,"Lutjanus.fulviflamma","3"
"61","Pipe 1LIZARD4_CAM2_RIG3",145.764,NA,350.651,294.071,1158.118,NA,NA,0,0,0,"Pipe","LIZARD4_CAM2_RIG3","Lethrinidae","Lethrinus","atkinsoni","flight","Individual",322.361,0,"Lethrinus.atkinsoni","4"
"62","Pipe 1LIZARD4_CAM4_RIG1",179.906,288.591,164.414,191.747,1409.628,619.959,0.156403883495146,0,0,0,"Pipe","LIZARD4_CAM4_RIG1","Serranidae","Plectropomus","spp","swim backwards","Individual",214.917333333333,0,"Plectropomus.spp","4"
"63","Pipe 1LIZARD4_CAM5_RIG1",239.348,887.275,483.278,298.266,1930.367,608.5,0.348994,0.145760666666667,0.154825,0.166811333333333,"Pipe","LIZARD4_CAM5_RIG1","Lutjanidae","Lutjanus","bohar","flight","Individual",556.273,0.155799,"Lutjanus.bohar","4"
"64","Pipe 1LIZARD5_CAM2_RIG3",132.462,107.843,106.562,108.886,659.651,403.011,NA,0,0,0,"Pipe","LIZARD5_CAM2_RIG3","Serranidae","Plectropomus","spp","no response","Individual",107.763666666667,0,"Plectropomus.spp","5"
"65","Pipe 2LIZARD1_CAM2_RIG3",167.103,189.371,279.316,78.54,744.946,194.236,0.0698521613832853,0.057225,0.0457976666666667,0.0439376666666667,"Perspex","LIZARD1_CAM2_RIG3","Lutjanidae","Lutjanus","fulviflamma","hide","Individual",182.409,0.0489867777777778,"Lutjanus.fulviflamma","1"
"66","Pipe 2LIZARD1_CAM4_RIG2",285.806,256.876,261.281,56.934,1001.676,191.812,0.124378,0.037253,NA,0.0314333333333333,"Diver","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","fulviflamma","hide","Individual",191.697,0.0343431666666667,"Lutjanus.fulviflamma","1"
"67","Pipe 2LIZARD1_CAM6_RIG1",350.723,274.155,317.968,307.624,2214.918,239.683,0.177294578313253,0,0.199538,0.045533,"Pipe","LIZARD1_CAM6_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",299.915666666667,0.0816903333333333,"Diagramma.pictum","1"
"68","Pipe 2LIZARD2_CAM2_RIG1",104.658,32.249,36.286,268.99,1714.327,243.81,1.49731111111111,0,0.206282666666667,0.14554,"Pipe","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","C- turn","Individual",112.508333333333,0.117274222222222,"Diagramma.pictum","2"
"69","Pipe 2LIZARD2_CAM3_RIG1",NA,117.512,83.558,94.727,1903.993,266.391,0.0814742857142857,0,0,0.050099,"Pipe","LIZARD2_CAM3_RIG1","Haemulidae","Diagramma","pictum","C- turn","Individual",98.599,0.0166996666666667,"Diagramma.pictum","2"
"70","Pipe 2LIZARD2_CAM4_RIG1",119.869,142.02,128.311,194.479,2172.642,194.865,NA,0,0,0,"Pipe","LIZARD2_CAM4_RIG1","Lutjanidae","Lutjanus","spp","no response","Individual",154.936666666667,0,"Lutjanus.spp","2"
"71","Pipe 2LIZARD2_CAM5_RIG3",NA,NA,NA,NA,551.083,NA,0.128800896860987,0,0,0,"Pipe","LIZARD2_CAM5_RIG3","Haemulidae","Plectorhinchus","chrysotaenia","flight","Individual",NA,0,"Plectorhinchus.chrysotaenia","2"
"72","Pipe 2LIZARD3_CAM1_RIG1",939.995,383.416,973.411,211.601,1549.525,487.285,NA,0,0,0,"Pipe","LIZARD3_CAM1_RIG1","Haemulidae","Plectorhinchus","albovittatus","no response","Individual",522.809333333333,0,"Plectorhinchus.albovittatus","3"
